Computer Name,OS
PEPWAP05225,Microsoft(R) Windows(R) Server 2003
PEPWAP05226,Microsoft(R) Windows(R) Server 2003
PEPWUD42077,Microsoft Windows 7 Professional  SP  1.0
PEPWUD40812,Microsoft Windows 7 Professional  SP  1.0
PEPWUD40883,Microsoft Windows 7 Professional  SP  1.0
PEPWUD37417,Microsoft Windows 7 Professional  SP  1.0
PEPWUD40811,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12300,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12301,Microsoft Windows 7 Professional  SP  1.0
PEPWUD42080,Microsoft Windows 7 Professional  SP  1.0
PEPWDS00326,Microsoft Windows Server 2008 R2 Standard  SP  1.0
PEPWUD42079,Microsoft Windows 7 Professional  SP  1.0
PEPWUD40911,Microsoft Windows 7 Professional  SP  1.0
PEPWUD39431,Microsoft Windows 7 Professional  SP  1.0
MARKEM-IMAJE-PC,Microsoft Windows 7 Professional  SP  1.0
PEPWUD37406,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12350,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12353,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12310,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12345,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12024,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12359,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12314,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12315,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12348,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12355,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12358,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12116,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12022,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12309,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12346,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12307,Microsoft Windows 7 Professional  SP  1.0
PEPWUD26411,Microsoft Windows XP Professional SP  3.0
PEPWKD12095,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12351,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12313,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12311,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12312,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12255,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12352,Microsoft Windows 7 Professional  SP  1.0
PEPWKD12352,Microsoft Windows 7 Professional  SP  1.0
PEPWAP05714,Microsoft Windows Server 2008 R2 Standard  SP  1.0
PEPWUD25007,Microsoft Windows XP Professional SP  3.0
PEPWUD25365,Microsoft Windows XP Professional SP  3.0
PEPWUD25368,Microsoft Windows XP Professional SP  3.0
PEPWUD25370,Microsoft Windows XP Professional SP  3.0
PEPWUD25006,Microsoft Windows XP Professional SP  3.0
PEPWUD25006,Microsoft Windows XP Professional SP  3.0
MARKEMIMAJE-PC,Microsoft Windows 7 Professional  SP  1.0
PEPWUD25194,Microsoft Windows XP Professional SP  3.0
PEPWUD25009,Microsoft Windows XP Professional SP  3.0
PEPWUD25364,Microsoft Windows XP Professional SP  3.0
PEPWUD25364,Microsoft Windows XP Professional SP  3.0
PEPWUD42082,Microsoft Windows 7 Professional  SP  1.0
PEPWUD42074,Microsoft Windows 7 Professional  SP  1.0
PEPWUD42075,Microsoft Windows 7 Professional  SP  1.0
